countryRegionId,year,eia_primary_energy_44,eia_energy_intensity_47,eia_co2_emissions_4008,electricity_access,energy_use_per_capita,gdp_per_capita,renewables_share
BGR,2020,9.417170187621403,101.12681081147028,35.17719275,99.7,2664.55152991688,10769.9475699414,21.1
BGR,2021,10.829146633568907,111.35818984599786,40.654544191,99.8,2918.91641380678,12972.2173356002,20.4
BGR,2022,11.916742410097864,115.03286991583384,44.326274923,100.0,2968.65663426552,13999.6719197289,20.4
BGR,2023,9.388583209578476,101.60950780142022,33.465186387,100.0,2604.19104505407,15883.8618545581,20.4
CZE,2020,20.96271691773092,147.14062310226277,88.581956557,100.0,3764.47161158552,23472.8915454417,17.0
CZE,2021,21.201138338280607,156.94678927230555,93.329030634,100.0,4056.31700066788,27696.4619527544,17.2
CZE,2022,22.481918576888024,152.21765653649615,91.764178483,100.0,3895.62928915395,28282.2236715857,17.2
CZE,2023,20.61183144655536,136.34281527578952,79.900923192,100.0,3509.34804885656,31591.0568216357,17.2
HUN,2020,8.685582095933343,105.79773042027168,46.742698082,100.0,2713.17923384455,16386.9308821258,14.8
HUN,2021,8.590009179500653,110.6527029668507,47.616344214,100.0,2850.7057950255,19030.628130329,15.3
HUN,2022,8.545741961965124,103.43087862560132,44.994706823,100.0,2672.86765529203,18483.6366867035,15.3
HUN,2023,8.592660947853073,96.09499249864707,40.161262987,100.0,2515.37052947518,22312.1790289763,15.3
POL,2020,52.17012369262813,106.71619996916566,284.267254454,100.0,2710.95606232103,16150.9291009726,16.1
POL,2021,54.07025171694135,111.64734974993507,297.447061102,100.0,2920.11352538648,18635.5088812509,15.2
POL,2022,51.33754537884658,109.82761293966269,290.590171751,100.0,2798.00774623397,18891.213529396,15.2
POL,2023,46.23542089603076,103.62718590105848,264.030646413,100.0,2639.20385996686,22145.2643088909,15.2
ROU,2020,20.455664013690452,62.69122167289014,65.621638013,100.0,1669.6382293589,13082.3006559554,24.1
ROU,2021,20.916241229114483,66.79165055821558,70.972594555,100.0,1787.09564245924,14986.7854904274,23.6
ROU,2022,20.570724447599765,61.504382250310165,65.986199982,100.0,1655.23818974845,15557.8826247584,23.6
ROU,2023,20.464102818530844,59.14844992142952,61.416105034,100.0,1600.75236404344,18404.2730871704,23.6
SVK,2020,5.622146102890879,121.3008559080486,30.031405264,100.0,3032.64269516845,19735.4858280801,17.6
SVK,2021,6.057226290237255,133.58650074093129,33.17484546,100.0,3305.89912789281,22132.4483028948,17.9
SVK,2022,5.982810453216666,125.7551034043412,30.252778272,100.0,3089.1457459111,21334.6011006572,17.9
SVK,2023,6.305653630091463,124.63690721646532,30.087097588,100.0,3054.72438218715,24673.5482979144,17.9
