countryRegionId,year,indicator,value
BGR,2023,gdp_per_capita,15883.8618545581
BGR,2022,gdp_per_capita,13999.6719197289
BGR,2021,gdp_per_capita,12972.2173356002
BGR,2020,gdp_per_capita,10769.9475699414
CZE,2023,gdp_per_capita,31591.0568216357
CZE,2022,gdp_per_capita,28282.2236715857
CZE,2021,gdp_per_capita,27696.4619527544
CZE,2020,gdp_per_capita,23472.8915454417
HUN,2023,gdp_per_capita,22312.1790289763
HUN,2022,gdp_per_capita,18483.6366867035
HUN,2021,gdp_per_capita,19030.628130329
HUN,2020,gdp_per_capita,16386.9308821258
POL,2023,gdp_per_capita,22145.2643088909
POL,2022,gdp_per_capita,18891.213529396
POL,2021,gdp_per_capita,18635.5088812509
POL,2020,gdp_per_capita,16150.9291009726
ROU,2023,gdp_per_capita,18404.2730871704
ROU,2022,gdp_per_capita,15557.8826247584
ROU,2021,gdp_per_capita,14986.7854904274
ROU,2020,gdp_per_capita,13082.3006559554
SVK,2023,gdp_per_capita,24673.5482979144
SVK,2022,gdp_per_capita,21334.6011006572
SVK,2021,gdp_per_capita,22132.4483028948
SVK,2020,gdp_per_capita,19735.4858280801
BGR,2023,energy_use_per_capita,2604.19104505407
BGR,2022,energy_use_per_capita,2968.65663426552
BGR,2021,energy_use_per_capita,2918.91641380678
BGR,2020,energy_use_per_capita,2664.55152991688
CZE,2023,energy_use_per_capita,3509.34804885656
CZE,2022,energy_use_per_capita,3895.62928915395
CZE,2021,energy_use_per_capita,4056.31700066788
CZE,2020,energy_use_per_capita,3764.47161158552
HUN,2023,energy_use_per_capita,2515.37052947518
HUN,2022,energy_use_per_capita,2672.86765529203
HUN,2021,energy_use_per_capita,2850.7057950255
HUN,2020,energy_use_per_capita,2713.17923384455
POL,2023,energy_use_per_capita,2639.20385996686
POL,2022,energy_use_per_capita,2798.00774623397
POL,2021,energy_use_per_capita,2920.11352538648
POL,2020,energy_use_per_capita,2710.95606232103
ROU,2023,energy_use_per_capita,1600.75236404344
ROU,2022,energy_use_per_capita,1655.23818974845
ROU,2021,energy_use_per_capita,1787.09564245924
ROU,2020,energy_use_per_capita,1669.6382293589
SVK,2023,energy_use_per_capita,3054.72438218715
SVK,2022,energy_use_per_capita,3089.1457459111
SVK,2021,energy_use_per_capita,3305.89912789281
SVK,2020,energy_use_per_capita,3032.64269516845
BGR,2023,renewables_share,
BGR,2022,renewables_share,
BGR,2021,renewables_share,20.4
BGR,2020,renewables_share,21.1
CZE,2023,renewables_share,
CZE,2022,renewables_share,
CZE,2021,renewables_share,17.2
CZE,2020,renewables_share,17.0
HUN,2023,renewables_share,
HUN,2022,renewables_share,
HUN,2021,renewables_share,15.3
HUN,2020,renewables_share,14.8
POL,2023,renewables_share,
POL,2022,renewables_share,
POL,2021,renewables_share,15.2
POL,2020,renewables_share,16.1
ROU,2023,renewables_share,
ROU,2022,renewables_share,
ROU,2021,renewables_share,23.6
ROU,2020,renewables_share,24.1
SVK,2023,renewables_share,
SVK,2022,renewables_share,
SVK,2021,renewables_share,17.9
SVK,2020,renewables_share,17.6
BGR,2023,electricity_access,100.0
BGR,2022,electricity_access,100.0
BGR,2021,electricity_access,99.8
BGR,2020,electricity_access,99.7
CZE,2023,electricity_access,100.0
CZE,2022,electricity_access,100.0
CZE,2021,electricity_access,100.0
CZE,2020,electricity_access,100.0
HUN,2023,electricity_access,100.0
HUN,2022,electricity_access,100.0
HUN,2021,electricity_access,100.0
HUN,2020,electricity_access,100.0
POL,2023,electricity_access,100.0
POL,2022,electricity_access,100.0
POL,2021,electricity_access,100.0
POL,2020,electricity_access,100.0
ROU,2023,electricity_access,100.0
ROU,2022,electricity_access,100.0
ROU,2021,electricity_access,100.0
ROU,2020,electricity_access,100.0
SVK,2023,electricity_access,100.0
SVK,2022,electricity_access,100.0
SVK,2021,electricity_access,100.0
SVK,2020,electricity_access,100.0
